EID,Set_Name,Node1_Z
395,South_Vs10-Min1,-28.030298233032227
396,South_Vs10-Min1,-28.491853713989258
397,South_Vs10-Min1,-28.95340919494629
398,South_Vs10-Min1,-29.41496467590332
399,South_Vs10-Min1,-29.87651824951172
400,South_Vs10-Min1,-30.87319564819336
401,South_Vs10-Min1,-31.869873046875
402,South_Vs10-Min1,-32.86655044555664
403,South_Vs10-Min1,-33.86322784423828
404,South_Vs10-Min1,-34.859901428222656
405,South_Vs10-Min1,-35.8565788269043
406,South_Vs10-Min1,-36.85325622558594
407,South_Vs10-Min1,-37.84993362426758
408,South_Vs10-Min1,-38.84661102294922
409,South_Vs10-Min1,-39.84328842163086
410,South_Vs10-Min1,-40.84328842163086
411,South_Vs10-Min1,-41.84328842163086
412,South_Vs10-Min1,-42.8399658203125
413,South_Vs10-Min1,-43.417022705078125
414,South_Vs10-Min1,-43.99407958984375
415,South_Vs10-Min1,-45.331138610839844
416,South_Vs10-Min1,-46.66819763183594
417,South_Vs10-Min1,-48.00525665283203
418,South_Vs10-Min1,-49.342315673828125
419,South_Vs10-Min1,-50.67937469482422
420,South_Vs10-Min1,-52.01643371582031
421,South_Vs10-Min1,-52.698490142822266
422,South_Vs10-Min1,-53.380550384521484
423,South_Vs10-Min1,-54.06260681152344
424,South_Vs10-Min1,-54.744667053222656
425,South_Vs10-Min1,-55.42672348022461
426,South_Vs10-Min1,-56.10878372192383
427,South_Vs10-Min1,-56.79084014892578
428,South_Vs10-Min1,-57.472900390625
429,South_Vs10-Min1,-58.03995895385742
430,South_Vs10-Min1,-58.607017517089844
431,South_Vs10-Min1,-59.174076080322266
432,South_Vs10-Min1,-59.74113464355469
433,South_Vs10-Min1,-60.30819320678711
434,South_Vs10-Min1,-60.87525177001953
435,South_Vs10-Min1,-62.23230743408203
436,South_Vs10-Min1,-63.5893669128418
437,South_Vs10-Min1,-64.94642639160156
438,South_Vs10-Min1,-66.30348205566406
439,South_Vs10-Min1,-67.51554107666016
440,South_Vs10-Min1,-68.72760009765625
441,South_Vs10-Min1,-70.80465698242188
442,South_Vs10-Min1,-72.88172149658203
443,South_Vs10-Min1,-74.95877838134766
444,South_Vs10-Min1,-77.03583526611328
445,South_Vs10-Min1,-79.19728088378906
446,South_Vs10-Min1,-81.35873413085938
447,South_Vs10-Min1,-83.52017974853516
448,South_Vs10-Min1,-85.68163299560547
449,South_Vs10-Min1,-87.84307861328125
450,South_Vs10-Min1,-90.00453186035156
451,South_Vs10-Min0,-0.34594249725341797
452,South_Vs10-Min0,-0.6918849945068359
453,South_Vs10-Min0,-1.037827491760254
454,South_Vs10-Min0,-1.3837699890136719
455,South_Vs10-Min0,-1.7297124862670898
456,South_Vs10-Min0,-2.075654983520508
457,South_Vs10-Min0,-2.421597480773926
458,South_Vs10-Min0,-2.7675399780273438
459,South_Vs10-Min0,-3.1134824752807617
460,South_Vs10-Min0,-3.4594249725341797
461,South_Vs10-Min0,-3.8053674697875977
462,South_Vs10-Min0,-4.151309967041016
463,South_Vs10-Min0,-4.497252464294434
464,South_Vs10-Min0,-4.843194961547852
465,South_Vs10-Min0,-5.1891374588012695
466,South_Vs10-Min0,-5.5350799560546875
467,South_Vs10-Min0,-5.8810224533081055
468,South_Vs10-Min0,-6.226964950561523
469,South_Vs10-Min0,-6.572907447814941
470,South_Vs10-Min0,-6.918849945068359
471,South_Vs10-Min0,-7.264792442321777
472,South_Vs10-Min0,-7.610734939575195
473,South_Vs10-Min0,-7.956677436828613
474,South_Vs10-Min0,-8.302619934082031
475,South_Vs10-Min0,-8.64856243133545
476,South_Vs10-Min0,-8.994504928588867
477,South_Vs10-Min0,-9.340447425842285
478,South_Vs10-Min0,-9.686389923095703
479,South_Vs10-Min0,-10.032332420349121
480,South_Vs10-Min0,-10.378274917602539
481,South_Vs10-Min0,-10.724217414855957
482,South_Vs10-Min0,-11.070159912109375
483,South_Vs10-Min0,-11.416102409362793
484,South_Vs10-Min0,-11.762044906616211
485,South_Vs10-Min0,-12.107987403869629
486,South_Vs10-Min0,-12.453929901123047
487,South_Vs10-Min0,-12.799872398376465
488,South_Vs10-Min0,-13.145814895629883
489,South_Vs10-Min0,-13.4917573928833
490,South_Vs10-Min0,-13.837699890136719
491,South_Vs10-Min0,-14.183642387390137
492,South_Vs10-Min0,-14.645197868347168
493,South_Vs10-Min0,-15.106752395629883
494,South_Vs10-Min0,-15.568307876586914
495,South_Vs10-Min0,-16.029863357543945
496,South_Vs10-Min0,-16.491418838500977
497,South_Vs10-Min0,-16.952974319458008
498,South_Vs10-Min0,-17.414527893066406
499,South_Vs10-Min0,-17.876083374023438
500,South_Vs10-Min0,-18.33763885498047
501,South_Vs10-Min0,-18.7991943359375
502,South_Vs10-Min0,-19.26074981689453
503,South_Vs10-Min0,-19.722305297851562
504,South_Vs10-Min0,-20.183860778808594
505,South_Vs10-Min0,-20.645414352416992
506,South_Vs10-Min0,-21.106969833374023
507,South_Vs10-Min0,-21.568525314331055
508,South_Vs10-Min0,-22.030080795288086
509,South_Vs10-Min0,-22.491636276245117
510,South_Vs10-Min0,-22.95319175720215
511,South_Vs10-Min0,-23.414745330810547
512,South_Vs10-Min0,-23.876300811767578
513,South_Vs10-Min0,-24.33785629272461
514,South_Vs10-Min0,-24.79941177368164
515,South_Vs10-Min0,-25.260967254638672
516,South_Vs10-Min0,-25.722522735595703
